PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Boban Marjanovic,SAS,27,7-3,290,None,Serbia,Undrafted,Undrafted,Undrafted,54,5.5,3.6,0.4,4.5,15.40%,24.60%,22.00%,66.20%,7.20%
Edy Tavares,ATL,24,7-3,260,None,Cabo Verde,2014,2,43,11,2.3,1.9,0.3,-4.3,11.50%,19.70%,16.70%,55.50%,5.50%
Kristaps Porzingis,NYK,20,7-3,240,None,Latvia,2015,1,4,72,14.3,7.3,1.3,0.3,6.30%,18.40%,24.30%,51.80%,7.60%
Tibor Pleiss,UTA,26,7-3,256,None,Germany,2010,2,31,12,2,1.3,0.2,-10.4,8.70%,11.80%,18.60%,46.40%,4.30%
Alexis Ajinca,NOP,28,7-2,248,None,France,2008,1,20,59,6,4.6,0.5,-2.6,8.50%,22.70%,20.10%,51.40%,5.90%
Roy Hibbert,LAL,29,7-2,270,Georgetown,USA,2008,1,17,81,5.9,4.9,1.2,-17.9,6.40%,13.90%,13.00%,50.70%,8.20%
Salah Mejri,DAL,30,7-2,245,None,Tunisia,Undrafted,Undrafted,Undrafted,34,3.7,3.6,0.3,5.5,10.50%,19.00%,13.80%,63.60%,3.80%
Alex Len,PHX,23,7-1,260,Maryland,Ukraine,2013,1,5,78,9,7.6,1.2,-7.7,9.10%,22.30%,20.20%,48.20%,8.70%
Marc Gasol,MEM,31,7-1,255,None,Spain,2007,2,48,52,16.6,7,3.8,0.1,3.30%,17.90%,23.70%,52.80%,19.50%
Meyers Leonard,POR,24,7-1,245,Illinois,USA,2012,1,11,61,8.4,5.1,1.5,3.2,3.70%,19.20%,17.40%,56.10%,10.30%
Rudy Gobert,UTA,24,7-1,245,None,France,2013,1,27,61,9.1,11,1.5,4.9,11.50%,24.20%,14.30%,58.20%,7.30%
Spencer Hawes,CHA,28,7-1,245,Washington,USA,2007,1,10,57,6,4.3,1.9,1.8,4.70%,17.50%,16.80%,50.80%,17.10%
Timofey Mozgov,CLE,29,7-1,275,None,Russia,Undrafted,Undrafted,Undrafted,76,6.3,4.4,0.4,0.6,8.70%,16.80%,16.00%,59.30%,3.90%
Tyson Chandler,PHX,33,7-1,240,None,USA,2001,1,2,66,7.2,8.7,1,-11.5,10.30%,25.10%,12.60%,60.60%,6.40%
Andrea Bargnani,BKN,30,7-0,245,None,Italy,2006,1,1,46,6.6,2.1,0.4,-14.7,4.20%,11.70%,22.70%,50.00%,5.10%
Andrew Bogut,GSW,31,7-0,260,Utah,Australia,2005,1,1,70,5.4,7,2.3,14.1,8.60%,22.90%,11.50%,62.30%,14.50%
Brook Lopez,BKN,28,7-0,275,Stanford,USA,2008,1,10,73,20.6,7.8,2,-2.4,8.60%,15.30%,27.20%,56.20%,10.60%
Chris Kaman,POR,34,7-0,265,Central Michigan,USA,2003,1,6,16,2.8,1.5,0.7,-14.6,6.70%,14.80%,20.20%,49.60%,18.60%
Cody Zeller,CHA,23,7-0,240,Indiana,USA,2013,1,4,73,8.7,6.2,1,5,7.70%,17.80%,15.20%,59.20%,6.10%
Dewayne Dedmon,ORL,26,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted,58,4.4,3.9,0.2,-1.1,9.50%,22.30%,15.10%,60.60%,2.90%
Dirk Nowitzki,DAL,38,7-0,245,None,Germany,1998,1,9,75,18.3,6.5,1.8,4.2,2.20%,18.20%,24.90%,55.50%,9.60%
Donatas Motiejunas,HOU,25,7-0,222,None,Lithuania,2011,1,20,37,6.2,2.9,1.1,4,6.90%,12.40%,21.40%,50.40%,11.60%
Frank Kaminsky,CHA,23,7-0,240,Wisconsin,USA,2015,1,9,81,7.5,4.1,1.2,-0.9,3.80%,15.00%,16.60%,51.30%,9.50%
Hassan Whiteside,MIA,27,7-0,265,Marshall,USA,2010,2,33,73,14.2,11.8,0.4,1.9,11.60%,28.20%,20.10%,62.90%,2.20%
JaVale McGee,DAL,28,7-0,270,Nevada-Reno,USA,2008,1,18,34,5.1,3.9,0.1,-6.2,13.60%,20.80%,20.60%,57.40%,1.50%
Jason Smith,ORL,30,7-0,240,Colorado State,USA,2007,1,20,76,7.2,2.9,0.8,-1.1,4.50%,14.40%,21.80%,51.30%,8.70%
Jeff Withey,UTA,26,7-0,231,Kansas,USA,2013,2,39,51,4.3,3.4,0.4,3,8.90%,18.30%,14.90%,57.70%,5.10%
Jonas Valanciunas,TOR,24,7-0,255,None,Lithuania,2011,1,5,60,12.8,9.1,0.7,3.7,12.50%,24.50%,20.40%,61.00%,4.50%
Jusuf Nurkic,DEN,21,7-0,280,None,Bosnia and He...,2014,1,16,32,8.2,5.5,1.3,-0.6,11.30%,20.00%,26.60%,46.00%,12.30%
Karl-Anthony Towns,MIN,20,7-0,244,Kentucky,USA,2015,1,1,82,18.3,10.5,2,-2.5,9.20%,24.20%,24.30%,59.00%,10.80%
Kelly Olynyk,BOS,25,7-0,238,Gonzaga,Canada,2013,1,13,69,10,4.1,1.5,6.8,4.70%,13.80%,20.40%,56.10%,11.90%
Kosta Koufos,SAC,27,7-0,265,Ohio State,USA,2008,1,23,78,6.8,5.4,0.4,-6.6,10.70%,17.00%,15.20%,54.00%,3.40%
Lucas Nogueira,TOR,23,7-0,220,None,Brazil,2013,1,16,29,2.2,1.6,0.2,4.3,7.90%,11.70%,12.00%,64.20%,4.40%
Nikola Vucevic,ORL,25,7-0,260,Southern California,Montenegro,2011,1,16,65,18.2,8.9,2.8,-1.2,8.40%,20.30%,26.50%,53.10%,15.40%
Omer Asik,NOP,29,7-0,255,None,Turkey,2008,2,36,68,4,6.1,0.4,-8.8,9.50%,25.80%,11.40%,55.10%,3.20%
Pau Gasol,CHI,35,7-0,250,None,Spain,2001,1,3,72,16.5,11,4.1,-0.2,6.50%,24.90%,24.40%,52.90%,21.50%
Robert Sacre,LAL,27,7-0,270,Gonzaga,Canada,2012,2,60,25,3.5,2.9,0.6,-4.1,8.60%,12.40%,13.90%,47.40%,7.20%
Robin Lopez,NYK,28,7-0,255,Stanford,USA,2008,1,15,82,10.3,7.3,1.4,-2.2,12.00%,14.50%,17.40%,57.40%,8.30%
Ryan Hollins,MEM,31,7-0,240,UCLA,USA,2006,2,50,37,3.4,2.6,0.3,-14.7,9.30%,12.40%,11.60%,63.60%,3.40%
Steven Adams,OKC,22,7-0,255,Pittsburgh,New Zealand,2013,1,12,80,8,6.7,0.8,11.9,10.90%,14.20%,12.50%,62.10%,4.20%
Tyler Zeller,BOS,26,7-0,253,North Carolina,USA,2012,1,17,60,6.1,3,0.5,-4.3,8.00%,14.80%,22.50%,53.90%,7.30%
Willie Cauley-Stein,SAC,22,7-0,240,Kentucky,USA,2015,1,6,66,7,5.3,0.6,-1.2,9.40%,15.00%,13.10%,58.80%,3.80%
Anderson Varejao,GSW,33,6-11,273,None,Brazil,2004,2,30,53,2.6,2.7,0.7,2.8,6.80%,20.40%,14.30%,47.30%,10.20%
Andre Drummond,DET,22,6-11,279,Connecticut,USA,2012,1,9,81,16.2,14.8,0.8,2.4,13.50%,30.90%,23.90%,49.90%,4.20%
Bobby Portis,CHI,21,6-11,230,Arkansas,USA,2015,1,22,62,7,5.4,0.8,-7.6,10.10%,18.60%,20.30%,46.90%,7.60%
Channing Frye,CLE,33,6-11,255,Arizona,USA,2005,1,8,70,6.1,3.3,1,4.8,3.00%,17.20%,15.30%,58.60%,8.60%
Charlie Villanueva,DAL,31,6-11,232,Connecticut,USA,2005,1,7,62,5.1,2.5,0.4,-8,3.20%,19.30%,23.60%,47.30%,6.30%
Chris Bosh,MIA,32,6-11,235,Georgia Tech,USA,2003,1,4,53,19.1,7.4,2.4,0.5,2.80%,18.80%,24.70%,57.10%,12.90%
Chris McCullough,BKN,21,6-11,200,Syracuse,USA,2015,1,29,24,4.7,2.8,0.4,-14.7,6.30%,12.60%,15.80%,47.00%,3.80%
Christian Wood,PHI,20,6-11,220,UNLV,USA,Undrafted,Undrafted,Undrafted,17,3.6,2.2,0.2,-13,7.50%,15.50%,18.50%,49.00%,3.50%
Cole Aldrich,LAC,27,6-11,250,Kansas,USA,2010,1,11,60,5.5,4.8,0.8,-0.7,11.00%,25.20%,18.50%,62.60%,10.70%
DeAndre Jordan,LAC,27,6-11,265,Texas A&M,USA,2008,2,35,77,12.7,13.8,1.2,8.9,10.50%,28.60%,15.50%,62.80%,5.10%
DeMarcus Cousins,SAC,25,6-11,270,Kentucky,USA,2010,1,5,65,26.9,11.5,3.3,1.3,7.00%,24.90%,35.10%,53.80%,16.70%
