PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Zydrunas Ilgauskas,MIA,36,7-3,260,None,Lithuania,1996,1,20,72,5,4,0.4,9.9,10.80%,16.10%,15.80%,53.10%,3.30%
Zaza Pachulia,ATL,27,6-11,275,None,Georgia,2003,2,42,79,4.4,4.2,0.7,-5.2,10.30%,18.90%,14.10%,56.20%,7.40%
Zach Randolph,MEM,29,6-9,260,Michigan State,USA,2001,1,19,75,20.1,12.2,2.2,4.7,12.50%,23.30%,24.70%,55.20%,10.00%
Zabian Dowdell,PHX,26,6-3,191,Virginia Tech,USA,Undrafted,Undrafted,Undrafted,24,5,0.8,2.1,-6.8,1.70%,5.30%,24.00%,45.70%,29.50%
Yi Jianlian,WAS,23,7-0,250,None,China,2007,1,6,63,5.6,3.9,0.4,-8.8,6.70%,15.90%,17.30%,45.90%,3.60%
Yao Ming,HOU,30,7-6,310,None,China,2002,1,1,5,10.2,5.4,0.8,-12.5,7.40%,19.80%,24.10%,57.90%,7.70%
Xavier Henry,MEM,20,6-6,220,Kansas,USA,2010,1,12,38,4.3,1,0.5,-3.8,1.70%,5.50%,16.50%,45.10%,5.40%
Wilson Chandler,DEN,24,6-8,225,DePaul,USA,2007,1,23,72,15.3,5.7,1.7,4.1,3.20%,13.40%,20.50%,53.70%,7.90%
Willie Warren,LAC,21,6-4,203,Oklahoma,USA,2010,2,54,19,1.9,0.6,1.4,7.9,0.80%,9.60%,15.50%,48.00%,30.70%
Willie Green,NOH,29,6-3,201,Detroit,USA,2003,2,41,77,8.7,2.1,1,-1.6,1.40%,8.70%,20.20%,51.50%,8.00%
Will Bynum,DET,28,6-0,185,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,61,7.9,1.2,3.2,-6.9,1.40%,6.00%,22.10%,52.40%,28.90%
Wesley Matthews,POR,24,6-5,220,Marquette,USA,Undrafted,Undrafted,Undrafted,82,15.9,3.1,2,2.8,1.80%,8.50%,20.90%,58.20%,10.10%
Wesley Johnson,MIN,23,6-7,205,Syracuse,USA,2010,1,4,79,9,3,1.9,-5.4,2.40%,9.10%,16.50%,49.10%,10.80%
Wayne Ellington,MIN,23,6-4,200,North Carolina,USA,2009,1,28,62,6.6,1.7,1.2,-8.3,2.10%,7.00%,16.90%,48.80%,9.80%
Von Wafer,BOS,25,6-5,209,Florida State,USA,2005,2,39,58,3.2,0.8,0.6,0.5,1.30%,7.40%,16.10%,52.40%,11.10%
Vladimir Radmanovic,GSW,30,6-10,235,None,Serbia,2001,1,12,74,5.1,2.9,1.1,3.4,5.60%,13.20%,14.70%,56.20%,9.60%
Vince Carter,PHX,34,6-6,220,North Carolina,USA,1998,1,5,73,14,3.8,2,3.4,2.70%,10.80%,23.00%,52.80%,11.60%
Udonis Haslem,MIA,31,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted,13,8,8.2,0.5,7.8,9.00%,21.90%,14.50%,54.90%,2.90%
Tyson Chandler,DAL,28,7-1,235,None,USA,2001,1,2,74,10.1,9.4,0.4,8,11.30%,23.30%,14.10%,69.70%,2.40%
