"Team","Rk.x","Age","W","L","ORtg","DRtg","Pace","FTr","ThreePAr","TSPercent","Arena","Attend","AttendPerGame","Rk.y","G","MP","FG","FGA","FGPercent","ThreeP","ThreePA","ThreePPercentage","TwoP","TwoPA","TwoPPercentage","FT","FTA","FreeThrowPercentage","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Atlanta Hawks",26,25.1,29,53,108.1,113.9,103.9,0.255,0.403,0.555,"State Farm Arena",628440,15328,12,82,242.1,41.4,91.8,0.451,13,37,0.352,28.4,54.8,0.518,17.6,23.4,0.752,11.6,34.5,46.1,25.8,8.2,5.1,17,23.6,113.3
"Boston Celtics*",6,25.7,49,33,112.2,107.8,99.6,0.215,0.381,0.567,"TD Garden",763584,18624,14,82,241.2,42.1,90.5,0.465,12.6,34.5,0.365,29.5,56,0.527,15.6,19.5,0.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4
"Brooklyn Nets*",15,25.4,42,40,109.6,109.7,100.8,0.284,0.403,0.556,"Barclays Center",612597,14941,15,82,243.7,40.3,89.7,0.449,12.8,36.2,0.353,27.5,53.6,0.513,19,25.5,0.745,11,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2
"Charlotte Hornets",19,26.6,39,43,111.4,112.5,98.7,0.257,0.378,0.554,"Spectrum Center",676570,16502,20,82,241.8,40.2,89.8,0.448,11.9,33.9,0.351,28.3,55.8,0.507,18.4,23.1,0.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7
"Chicago Bulls",27,24,22,60,104.8,113.2,99,0.235,0.295,0.541,"United Center",823475,20085,27,82,242.7,39.8,87.9,0.453,9.1,25.9,0.351,30.7,62,0.496,16.2,20.7,0.783,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9
"Cleveland Cavaliers",30,25.2,19,63,107.7,117.6,96.6,0.236,0.332,0.54,"Quicken Loans Arena",793337,19350,29,82,240.9,38.9,87.6,0.444,10.3,29.1,0.355,28.6,58.5,0.488,16.4,20.7,0.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20,104.5
"Dallas Mavericks",21,26.9,33,49,109.4,110.7,99,0.291,0.422,0.555,"American Airlines Center",820569,20014,21,82,241.2,38.8,86.9,0.447,12.5,36.6,0.34,26.3,50.2,0.524,18.8,25.3,0.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9
"Denver Nuggets*",8,24.9,54,28,113,108.9,97.7,0.232,0.348,0.558,"Pepsi Center",756457,18450,19,82,240.6,41.9,90,0.466,11,31.4,0.351,30.9,58.7,0.527,15.8,20.9,0.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20,110.7
"Detroit Pistons*",16,26.9,41,41,109,109.2,97.4,0.262,0.394,0.544,"Little Caesars Arena",675963,16487,25,82,242.1,38.8,88.3,0.44,12.1,34.8,0.348,26.7,53.5,0.5,17.3,23.1,0.747,11.4,33.6,45,22.5,6.9,4,13.8,22.1,107
"Golden State Warriors*",2,28.4,57,25,115.9,109.5,100.9,0.227,0.384,0.596,"Oracle Arena",803436,19596,2,82,241.5,44,89.8,0.491,13.3,34.4,0.385,30.8,55.3,0.557,16.3,20.4,0.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7
"Houston Rockets*",5,29.2,53,29,115.5,110.7,97.9,0.279,0.519,0.581,"Toyota Center",740392,18058,11,82,241.8,39.2,87.4,0.449,16.1,45.4,0.356,23.1,42,0.551,19.3,24.4,0.791,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22,113.9
"Indiana Pacers*",9,27,48,34,109.9,106.5,98.1,0.242,0.292,0.561,"Bankers Life Fieldhouse",689310,16812,22,82,240.3,41.3,87,0.475,9.5,25.4,0.374,31.8,61.6,0.517,15.8,21.1,0.752,9.3,33.7,43,26,8.7,4.9,13.7,19.4,108
"Los Angeles Clippers*",13,27.2,48,34,112.4,111.5,101.7,0.326,0.295,0.575,"STAPLES Center",710327,17325,5,82,241.8,41.3,87.5,0.471,10,25.8,0.388,31.3,61.7,0.507,22.6,28.5,0.792,9.7,35.8,45.5,24,6.8,4.7,14.5,23.3,115.1
"Los Angeles Lakers",23,26.2,37,45,107.8,109.5,103.2,0.257,0.342,0.554,"STAPLES Center",778877,18997,16,82,241.2,42.6,90.5,0.47,10.3,31,0.333,32.2,59.6,0.541,16.3,23.3,0.699,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8
"Memphis Grizzlies",24,27.7,33,49,106.1,108.8,96.6,0.272,0.342,0.548,"FedEx Forum",638332,15569,30,82,242.4,38,84.4,0.45,9.9,28.9,0.342,28.1,55.6,0.505,17.7,23,0.772,8.8,33,41.8,23.9,8.3,5.5,14,22,103.5
"Miami Heat",17,27,39,43,107.3,107.6,98.2,0.247,0.368,0.542,"AmericanAirlines Arena",805264,19641,26,82,240.6,39.6,88,0.45,11.3,32.4,0.349,28.3,55.6,0.509,15.1,21.7,0.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7
"Milwaukee Bucks*",1,26.9,60,22,113.8,105.2,103.3,0.255,0.419,0.583,"Fiserv Forum",721692,17602,1,82,241.2,43.4,91.1,0.476,13.5,38.2,0.353,29.9,52.9,0.565,17.9,23.2,0.773,9.3,40.4,49.7,26,7.5,5.9,13.9,19.6,118.1
"Minnesota Timberwolves",22,26.2,36,46,111.4,112.9,100.2,0.267,0.315,0.552,"Target Center",627543,15306,13,82,241.8,41.6,91.3,0.456,10.1,28.7,0.351,31.5,62.5,0.504,19.1,24.3,0.787,11.3,33.5,44.8,24.6,8.3,5,13.1,20.3,112.5
"New Orleans Pelicans",20,25.7,33,49,111.4,112.6,103.3,0.254,0.324,0.563,"Smoothie King Center",656183,16004,3,82,240.9,43.7,92.2,0.473,10.3,29.9,0.344,33.4,62.4,0.536,17.8,23.4,0.761,11.1,36.2,47.3,27,7.4,5.4,14.8,21.1,115.4
"New York Knicks",28,23.4,17,65,104.5,113.7,99.6,0.27,0.334,0.529,"Madison Square Garden (IV)",779087,19002,28,82,241.2,38.2,88.3,0.433,10,29.5,0.34,28.2,58.8,0.479,18.1,23.9,0.759,10.5,34.3,44.7,20.1,6.8,5.1,14,20.9,104.6
"Oklahoma City Thunder*",10,25.7,49,33,110.3,107,102.8,0.266,0.347,0.545,"Chesapeake Energy Arena",746323,18203,7,82,242.1,42.6,94,0.454,11.4,32.6,0.348,31.3,61.3,0.51,17.8,25,0.713,12.6,35.5,48.1,23.4,9.3,5.2,14,22.4,114.5
"Orlando Magic*",14,25.7,42,40,108.9,108.1,98.1,0.216,0.36,0.55,"Amway Center",720024,17431,24,82,241.2,40.4,89.1,0.454,11.4,32.1,0.356,29,57,0.509,15,19.2,0.782,10,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3
"Philadelphia 76ers*",11,26.4,51,31,112.6,110,101.6,0.312,0.342,0.574,"Wells Fargo Center",838342,20447,4,82,241.5,41.5,88.2,0.471,10.8,30.2,0.359,30.7,58,0.529,21.2,27.5,0.771,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2
"Phoenix Suns",29,24,19,63,105.9,115.1,100.5,0.259,0.335,0.552,"Talking Stick Resort Arena",627023,15293,23,82,242.4,40.1,87.4,0.459,9.6,29.3,0.329,30.5,58.1,0.525,17.6,22.7,0.779,9.1,31.3,40.4,23.9,9,5.1,15.6,23.6,107.5
"Portland Trail Blazers*",7,26.2,53,29,114.7,110.5,99.1,0.258,0.339,0.568,"Moda Center",799345,19496,6,82,242.1,42.3,90.6,0.467,11,30.7,0.359,31.3,59.8,0.523,19,23.3,0.814,11.8,36.2,48,23,6.7,5,13.8,20.4,114.7
"Sacramento Kings",18,24.8,39,43,110.4,111.5,103.1,0.244,0.321,0.554,"Golden 1 Center",700975,17097,9,82,240.6,43.2,93.1,0.464,11.3,29.9,0.378,31.9,63.2,0.504,16.5,22.7,0.726,11,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2
"San Antonio Spurs*",12,28.8,48,34,112.9,111.2,98.3,0.237,0.286,0.572,"AT&T Center",750616,18308,17,82,241.5,42.3,88.4,0.478,9.9,25.3,0.392,32.4,63.1,0.513,17.2,21,0.819,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7
"Toronto Raptors*",3,27.3,58,24,113.1,107.1,100.2,0.247,0.379,0.579,"Scotiabank Arena",812822,19825,8,82,242.4,42.2,89.1,0.474,12.4,33.8,0.366,29.8,55.3,0.539,17.7,22,0.804,9.6,35.6,45.2,25.4,8.3,5.3,14,21,114.4
"Utah Jazz*",4,27.3,50,32,110.9,105.7,100.3,0.295,0.394,0.572,"Vivint Smart Home Arena",750546,18306,18,82,240.9,40.4,86.4,0.468,12.1,34,0.356,28.3,52.4,0.541,18.8,25.5,0.736,10,36.4,46.4,26,8.1,5.9,15.1,21.1,111.7
